Titel;Album;Interpret;Jahr
Blood In My Eyes;World Gone Wrong;Bob Dylan;1993
Broke Down Engine;World Gone Wrong;Bob Dylan;1993
Delia;World Gone Wrong;Bob Dylan;1993
Jack-A-Roe;World Gone Wrong;Bob Dylan;1993
Lone Pilgrim;World Gone Wrong;Bob Dylan;1993
Love Henry;World Gone Wrong;Bob Dylan;1993
Ragged And Dirty;World Gone Wrong;Bob Dylan;1993
Stack A Lee;World Gone Wrong;Bob Dylan;1993
Two Soldiers;World Gone Wrong;Bob Dylan;1993
World Gone Wrong;World Gone Wrong;Bob Dylan;1993
Breakfast In America;Breakfast In America;Supertramp;1979
Cannonball;Breakfast In America;Supertramp;1979
Casual Conversations;Breakfast In America;Supertramp;1979
Child Of Vision;Breakfast In America;Supertramp;1979
From Now On;Breakfast In America;Supertramp;1979
Give A Little Bit;Breakfast In America;Supertramp;1979
Gone Hollywood;Breakfast In America;Supertramp;1979
Goodbye Stranger;Breakfast In America;Supertramp;1979
Hide In Your Shell;Breakfast In America;Supertramp;1979
It's Raining Again;Breakfast In America;Supertramp;1979
Just Another Nervous Wreck;Breakfast In America;Supertramp;1979
Lord Is It Mine;Breakfast In America;Supertramp;1979
Oh Darling;Breakfast In America;Supertramp;1979
Take The Long Way Home;Breakfast In America;Supertramp;1979
The Logical Song;Breakfast In America;Supertramp;1979
Better Days;Brother Where You Bound;Supertramp;1985
Brother Where You Bound;Brother Where You Bound;Supertramp;1985
Cannonball;Brother Where You Bound;Supertramp;1985
Ever Open Door;Brother Where You Bound;Supertramp;1985
No Inbetween;Brother Where You Bound;Supertramp;1985
Still In Love;Brother Where You Bound;Supertramp;1985
Asylum;Crime Of The Century;Supertramp;1974
Bloody Well Right;Crime Of The Century;Supertramp;1974
Crime Of The Century;Crime Of The Century;Supertramp;1974
Dreamer;Crime Of The Century;Supertramp;1974
Hide In Your Shell;Crime Of The Century;Supertramp;1974
If Everyone Was Listening;Crime Of The Century;Supertramp;1974
Rudy;Crime Of The Century;Supertramp;1974
School;Crime Of The Century;Supertramp;1974
A Soapbox Opera;Crisis? What Crisis;Supertramp;1975
Ain't Nobody But Me;Crisis? What Crisis;Supertramp;1975
Another Man's Woman;Crisis? What Crisis;Supertramp;1975
Easy Does It;Crisis? What Crisis;Supertramp;1975
Just A Normal Day;Crisis? What Crisis;Supertramp;1975
Lady;Crisis? What Crisis;Supertramp;1975
Poor Boy;Crisis? What Crisis;Supertramp;1975
Sister Moonshine;Crisis? What Crisis;Supertramp;1975
The Meaning;Crisis? What Crisis;Supertramp;1975
Two Of Us;Crisis? What Crisis;Supertramp;1975
Babaji;Even In The Quietest Moments;Supertramp;1977
Downstream;Even In The Quietest Moments;Supertramp;1977
Even In The Quietest Moments;Even In The Quietest Moments;Supertramp;1977
Fool's Overture;Even In The Quietest Moments;Supertramp;1977
From Now On;Even In The Quietest Moments;Supertramp;1977
Give A Little Bit;Even In The Quietest Moments;Supertramp;1977
Lover Boy;Even In The Quietest Moments;Supertramp;1977
Bonnie;Famous Last Words;Supertramp;1982
C'est le bon;Famous Last Words;Supertramp;1982
Crazy;Famous Last Words;Supertramp;1982
Don't Leave Me Now;Famous Last Words;Supertramp;1982
It's Raining Again;Famous Last Words;Supertramp;1982
Know Who You Are;Famous Last Words;Supertramp;1982
